StockCode,PriceFactor,SimulatedPrice,SimulatedQuantity,SimulatedRevenue
10125,0.8,0.6226666666666666,15,9.339999999999998
10125,0.8200000000000001,0.6382333333333333,14,8.935266666666667
10125,0.8400000000000001,0.6537999999999999,14,9.153199999999998
10125,0.86,0.6693666666666666,14,9.371133333333331
10125,0.88,0.6849333333333333,14,9.589066666666666
10125,0.9,0.7004999999999999,14,9.806999999999999
10125,0.92,0.7160666666666666,14,10.024933333333333
10125,0.9400000000000001,0.7316333333333332,13,9.511233333333331
10125,0.96,0.7471999999999999,13,9.713599999999998
10125,0.98,0.7627666666666665,13,9.915966666666664
10125,1.0,0.7783333333333332,13,10.118333333333332
10125,1.02,0.7938999999999999,13,10.320699999999999
10125,1.04,0.8094666666666666,13,10.523066666666665
10125,1.06,0.8250333333333333,13,10.725433333333333
10125,1.08,0.8405999999999999,13,10.9278
10125,1.1,0.8561666666666666,13,11.130166666666666
10125,1.12,0.8717333333333332,12,10.460799999999999
10125,1.1400000000000001,0.8873,12,10.6476
10125,1.16,0.9028666666666665,12,10.834399999999999
10125,1.18,0.9184333333333331,12,11.021199999999997
10125,1.2,0.9339999999999998,12,11.207999999999998
10133,0.8,0.422,20,8.44
10133,0.8200000000000001,0.43255,20,8.651
10133,0.8400000000000001,0.4431,19,8.4189
10133,0.86,0.45364999999999994,19,8.619349999999999
10133,0.88,0.4642,18,8.3556
10133,0.9,0.47475,18,8.5455
10133,0.92,0.4853,17,8.2501
10133,0.9400000000000001,0.49585,17,8.429450000000001
10133,0.96,0.5064,17,8.608799999999999
10133,0.98,0.5169499999999999,16,8.271199999999999
10133,1.0,0.5275,16,8.44
10133,1.02,0.53805,15,8.07075
10133,1.04,0.5486,15,8.229
10133,1.06,0.55915,15,8.38725
10133,1.08,0.5697,15,8.5455
10133,1.1,0.58025,14,8.1235
10133,1.12,0.5908,14,8.2712
10133,1.1400000000000001,0.60135,14,8.4189
10133,1.16,0.6118999999999999,13,7.954699999999999
10133,1.18,0.62245,13,8.091849999999999
10133,1.2,0.6329999999999999,13,8.229
10135,0.8,0.9701565217391306,13,12.612034782608697
10135,0.8200000000000001,0.9944104347826089,12,11.932925217391308
10135,0.8400000000000001,1.018664347826087,12,12.223972173913044
10135,0.86,1.0429182608695653,12,12.515019130434784
10135,0.88,1.0671721739130435,12,12.806066086956523
10135,0.9,1.091426086956522,12,13.097113043478263
10135,0.92,1.1156800000000002,11,12.272480000000002
10135,0.9400000000000001,1.1399339130434785,11,12.539273043478262
10135,0.96,1.1641878260869567,11,12.806066086956523
10135,0.98,1.188441739130435,11,13.072859130434784
10135,1.0,1.2126956521739132,11,13.339652173913045
10135,1.02,1.2369495652173914,11,13.606445217391306
10135,1.04,1.2612034782608696,11,13.873238260869567
10135,1.06,1.285457391304348,10,12.854573913043481
10135,1.08,1.3097113043478263,10,13.097113043478263
10135,1.1,1.3339652173913046,10,13.339652173913045
10135,1.12,1.3582191304347828,10,13.582191304347829
10135,1.1400000000000001,1.3824730434782613,10,13.824730434782612
10135,1.16,1.4067269565217393,10,14.067269565217392
10135,1.18,1.4309808695652175,10,14.309808695652176
10135,1.2,1.4552347826086958,10,14.552347826086958
11001,0.8,1.5091929824561405,15,22.637894736842107
11001,0.8200000000000001,1.546922807017544,14,21.656919298245615
11001,0.8400000000000001,1.5846526315789475,14,22.185136842105265
11001,0.86,1.622382456140351,13,21.090971929824562
11001,0.88,1.6601122807017545,13,21.58145964912281
11001,0.9,1.697842105263158,12,20.374105263157897
11001,0.92,1.7355719298245615,12,20.82686315789474
11001,0.9400000000000001,1.773301754385965,12,21.27962105263158
11001,0.96,1.8110315789473685,11,19.921347368421053
11001,0.98,1.848761403508772,11,20.33637543859649
11001,1.0,1.8864912280701756,11,20.75140350877193
11001,1.02,1.924221052631579,10,19.24221052631579
11001,1.04,1.9619508771929826,10,19.619508771929826
11001,1.06,1.9996807017543863,10,19.996807017543862
11001,1.08,2.0374105263157896,9,18.336694736842105
11001,1.1,2.0751403508771933,9,18.676263157894738
11001,1.12,2.112870175438597,9,19.015831578947374
11001,1.1400000000000001,2.1506000000000003,9,19.355400000000003
11001,1.16,2.1883298245614036,8,17.50663859649123
11001,1.18,2.226059649122807,8,17.808477192982455
11001,1.2,2.2637894736842106,8,18.110315789473685
15036,0.8,0.6505248226950355,45,29.2736170212766
15036,0.8200000000000001,0.6667879432624114,41,27.338305673758867
15036,0.8400000000000001,0.6830510638297873,37,25.27288936170213
15036,0.86,0.6993141843971631,34,23.776682269503546
15036,0.88,0.715577304964539,31,22.182896453900707
15036,0.9,0.7318404255319149,29,21.22337234042553
15036,0.92,0.7481035460992908,26,19.45069219858156
15036,0.9400000000000001,0.7643666666666666,24,18.3448
15036,0.96,0.7806297872340425,22,17.173855319148934
15036,0.98,0.7968929078014184,21,16.734751063829787
15036,1.0,0.8131560283687943,19,15.449964539007091
15036,1.02,0.8294191489361702,18,14.929544680851063
15036,1.04,0.8456822695035461,17,14.376598581560284
15036,1.06,0.861945390070922,15,12.92918085106383
15036,1.08,0.8782085106382979,14,12.29491914893617
15036,1.1,0.8944716312056739,13,11.62813120567376
15036,1.12,0.9107347517730497,12,10.928817021276597
15036,1.1400000000000001,0.9269978723404256,12,11.123974468085107
15036,1.16,0.9432609929078013,11,10.375870921985815
15036,1.18,0.9595241134751772,10,9.595241134751772
15036,1.2,0.9757872340425531,9,8.782085106382977
15039,0.8,0.6758709677419354,21,14.193290322580644
15039,0.8200000000000001,0.6927677419354838,19,13.162587096774192
15039,0.8400000000000001,0.7096645161290323,17,12.064296774193549
15039,0.86,0.7265612903225805,15,10.898419354838708
15039,0.88,0.743458064516129,14,10.408412903225805
15039,0.9,0.7603548387096773,12,9.124258064516129
15039,0.92,0.7772516129032258,11,8.549767741935483
15039,0.9400000000000001,0.7941483870967742,10,7.941483870967741
15039,0.96,0.8110451612903224,9,7.299406451612902
15039,0.98,0.8279419354838709,9,7.451477419354838
15039,1.0,0.8448387096774193,8,6.758709677419354
15039,1.02,0.8617354838709677,7,6.032148387096774
15039,1.04,0.8786322580645161,7,6.150425806451612
15039,1.06,0.8955290322580645,6,5.373174193548387
15039,1.08,0.9124258064516129,5,4.562129032258064
15039,1.1,0.9293225806451613,5,4.646612903225806
15039,1.12,0.9462193548387097,5,4.731096774193548
15039,1.1400000000000001,0.9631161290322581,4,3.8524645161290323
15039,1.16,0.9800129032258063,4,3.920051612903225
15039,1.18,0.9969096774193547,4,3.9876387096774186
15039,1.2,1.013806451612903,3,3.041419354838709
15044A,0.8,2.419789473684211,7,16.938526315789478
15044A,0.8200000000000001,2.4802842105263165,6,14.8817052631579
15044A,0.8400000000000001,2.5407789473684215,6,15.244673684210529
15044A,0.86,2.601273684210527,6,15.60764210526316
15044A,0.88,2.661768421052632,5,13.308842105263158
15044A,0.9,2.722263157894737,5,13.611315789473686
15044A,0.92,2.7827578947368425,5,13.913789473684213
15044A,0.9400000000000001,2.843252631578948,5,14.21626315789474
15044A,0.96,2.903747368421053,4,11.614989473684211
15044A,0.98,2.9642421052631582,4,11.856968421052633
15044A,1.0,3.0247368421052636,4,12.098947368421054
15044A,1.02,3.085231578947369,4,12.340926315789476
15044A,1.04,3.1457263157894744,4,12.582905263157897
15044A,1.06,3.2062210526315797,3,9.618663157894739
15044A,1.08,3.266715789473685,3,9.800147368421054
15044A,1.1,3.32721052631579,3,9.98163157894737
15044A,1.12,3.3877052631578954,3,10.163115789473686
15044A,1.1400000000000001,3.448200000000001,3,10.344600000000003
15044A,1.16,3.5086947368421058,3,10.526084210526317
15044A,1.18,3.5691894736842107,3,10.707568421052631
15044A,1.2,3.629684210526316,3,10.889052631578949
